Rank|Song|Total Points|Number Ones|Total Listeners
376|Carly Rae Jepsen - Let's Get Lost|27.5|0|4
376|Sufjan Stevens - The Predatory Wasp Of The Palisades Is Out To Get Us|27.5|0|4
378|Bradley Cooper - Maybe It's Time|27.5|0|3
378|Dennis Lloyd - Nevermind|27.5|0|3
378|Lany - If You See Her|27.5|0|3
378|Louis The Child - Save Me From Myself (with NoMBe & Big Gigantic)|27.5|0|3
382|Joey Purp - Elastic|27.5|0|2
383|LIL UZI VERT - XO TOUR Llif3|27.0|1|4
384|6ix9ine - FEFE (feat. Nicki Minaj & Murda Beatz)|27.0|0|4
385|Pusha T - Come Back Baby|27.0|0|3
386|Kelsea Ballerini - I Think I Fell In Love Today|27.0|1|2
387|Daft Punk - Instant Crush (feat. Julian Casablancas)|27.0|0|2
388|21 Savage, Offset & Metro Boomin - Rap Saved Me (feat. Quavo)|26.5|0|4
388|A Pink - I'm So Sick|26.5|0|4
390|Lady Gaga - Just Dance|26.5|1|3
391|6ix9ine - STOOPID|26.5|0|3
391|Kelsea Ballerini - Landslide|26.5|0|3
391|Lady Gaga - Poker Face|26.5|0|3
391|Poppy - Money|26.5|0|3
395|6LACK - Pretty Little Fears (feat. J. Cole)|26.5|0|2
395|IDK - Moral (feat. Maxo Kream)|26.5|0|2
395|Mitski - I Will|26.5|0|2
398|Dua Lipa - Want To|26.0|0|5
398|Kids See Ghosts - Freeee (Ghost Town Pt. 2)|26.0|0|5
400|Christine and The Queens - Comme si|26.0|1|4
401|Years & Years - Hallelujah|26.0|0|4
402|I DONT KNOW HOW BUT THEY FOUND ME - Bleed Magic|26.0|1|3
403|Bring Me The Horizon - Wonderful Life (feat. Dani Filth)|26.0|0|3
403|Pistol Annies - Stop Drop and Roll One|26.0|0|3
405|LIZ - Pandemonium|26.0|0|2
406|Dua Lipa - Be The One|25.5|0|7
407|Calvin Harris & Dua Lipa - One Kiss|25.5|0|6
407|Kiiara - Messy|25.5|0|6
409|Dua Lipa - IDGAF|25.5|0|5
409|M.I.A. - Paper Planes|25.5|0|5
411|Bleachers - Don't Take The Money|25.5|0|4
412|Billie Eilish - Ocean Eyes|25.5|0|3
412|Hailee Steinfeld - Capital Letters|25.5|0|3
412|Playboi Carti - R.I.P.|25.5|0|3
412|TWICE - What is Love?|25.5|0|3
416|Eden - take care|25.5|1|2
416|Ikon - Love Scenario|25.5|1|2
418|Dagny - Love You Like That|25.5|0|2
418|Keala Settle - This Is Me|25.5|0|2
418|Troye Sivan - Strawberries & Cigarettes|25.5|0|2
421|Childish Gambino - This Is America|25.0|1|4
422|George Ezra - Shotgun|25.0|0|4
422|Poppy - Immature Couture|25.0|0|4
424|Flatbush ZOMBiES - New World Order|25.0|0|2
425|Paramore - Rose-Colored Boy|24.5|0|5
426|Christine and The Queens - 5 dollars|24.5|0|4
427|Boa - Like it!|24.5|0|3
427|Bradley Cooper - Black Eyes|24.5|0|3
427|Charli XCX - Track 10|24.5|0|3
427|Lady Gaga - Bloody Mary|24.5|0|3
427|Let's Eat Grandma - It's Not Just Me|24.5|0|3
427|MADEINTYO - Ned Flanders (feat. A$AP Ferg)|24.5|0|3
427|Tyler, The Creator - Who Dat Boy|24.5|0|3
434|Cameron Dallas - Why Haven't I Met You?|24.5|1|2
434|Mike Faist - Sincerely, Me|24.5|1|2
436|Dominic Fike - 3 Nights|24.5|0|2
436|Lana Del Rey - Black Beauty|24.5|0|2
436|slayyyter - Ghost|24.5|0|2
436|TWICE - Cheer Up|24.5|0|2
440|Benny Blanco - Eastside (with Halsey & Khalid)|24.0|0|7
441|Daughters - Long Road, No Turns|24.0|0|5
441|Janelle Monáe - Crazy, Classic, Life|24.0|0|5
443|Jorja Smith - Teenage Fantasy|24.0|0|4
444|xxxtentacion - Moonlight|24.0|1|3
445|Janelle Monáe - Americans|24.0|0|3
445|Joan - all The way|24.0|0|3
445|Poppy - Iconic|24.0|0|3
445|Snail Mail - Speaking Terms|24.0|0|3
445|The Aces - Bad Love|24.0|0|3
445|TWICE - LIKEY|24.0|0|3
451|Charli XCX - Drugs (feat. Abra)|24.0|1|2
452|AJR - Burn The House Down|24.0|0|2
452|Charli XCX - Trophy|24.0|0|2
452|GOT7 - Lullaby|24.0|0|2
455|Carly Rae Jepsen - The One|23.5|0|6
455|Taylor Swift - Wildest Dreams|23.5|0|6
455|Troye Sivan - My My My!|23.5|0|6
458|BROCKHAMPTON - THUG LIFE|23.5|0|5
458|Lorde - Writer In The Dark|23.5|0|5
460|Kendrick Lamar - King Kunta|23.5|0|4
460|Khalid - Motion|23.5|0|4
460|Lady Gaga & Bradley Cooper - Music To My Eyes|23.5|0|4
463|21 Savage - My Choppa Hate Niggas|23.5|1|3
464|Antarctigo Vespucci - Kimmy|23.5|0|3
464|Ella Mai - Boo'd Up|23.5|0|3
464|Kero Kero Bonito - Dump|23.5|0|3
464|Lana Del Rey - Love|23.5|0|3
464|MØ - West Hollywood (Interlude)|23.5|0|3
469|Britney Spears - 3|23.5|1|2
469|Kali Uchis - In My Dreams|23.5|1|2
471|Bruno Mars - 24K Magic|23.5|0|2
471|Gucci Mane, Bruno Mars & Kodak Black - Wake Up in The Sky|23.5|0|2
471|MihTy - The Light|23.5|0|2
471|The Struts - Primadonna Like Me|23.5|0|2
475|Charli XCX - 3am (Pull Up) (feat. MØ)|23.0|0|5
475|Icona Pop - Rhythm in My Blood|23.0|0|5
477|5 Seconds Of Summer - Ghost Of You|23.0|1|4
478|Kendrick Lamar - DNA.|23.0|0|4
478|Maggie Rogers - Alaska|23.0|0|4
480|Tory Lanez - SHE tOLd Me|23.0|0|3
480|Travis Scott - STOP TRYING TO BE GOD (feat. James Blake,|23.0|0|3
482|Mitski - First Love / Late Spring|23.0|1|2
482|NCT 127 - Regular - English Version|23.0|1|2
484|Thom Yorke - Suspirium|23.0|0|2
484|Tove Lo - Shedontknowbutsheknows|23.0|0|2
486|Twenty One Pilots - Levitate|22.5|0|9
487|Julia Holter - Voce Simul|22.5|0|8
488|Taylor Swift - New Romantics|22.5|0|6
489|Joji - XNXX|22.5|0|5
489|Taylor Swift - This Is Why We Can't Have Nice Things|22.5|0|5
491|Grimes - Kill V. Maim|22.5|0|4
491|Kanye West - Ultralight Beam|22.5|0|4
491|Pistol Annies - Got My Name Changed Back|22.5|0|4
