Rank|Song|Total Points|Number Ones|Total Listeners
496|Charli XCX - Babygirl (feat. Uffie)|20.0|0|2
496|Charli XCX - Emotional|20.0|0|2
496|Clairo - 4EVER|20.0|0|2
496|Hippo Campus - Think It Over|20.0|0|2
496|James Blake - Don't Miss It|20.0|0|2
496|Kanye West - Coldest Winter|20.0|0|2
496|Lana Del Rey - Young and Beautiful|20.0|0|2
496|Pabllo Vittar - Problema Seu|20.0|0|2
496|PRETTYMUCH - Solita (feat. Rich The Kid)|20.0|0|2
496|Robyn - Dancing On My Own|20.0|0|2
507|Sheck Wes - Kyrie|19.5|0|6
508|Lil Baby - Seals Pills (Lil Baby & Gunna)|19.5|1|5
509|Taylor Swift - Shake It Off|19.5|0|5
510|Kanye West - Ghost Town (feat. PARTYNEXTDOOR)|19.5|0|4
510|Lany - Valentine's Day|19.5|0|4
510|The Weeknd - Call Out My Name|19.5|0|4
513|Arctic Monkeys - No. 1 Party Anthem|19.5|0|3
